name,star_name,star_age,star_age_error_min,star_age_error_max,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
Kepler-969 c,Kepler-969,1.51,-0.36,0.72,Confirmed,,,,,,,0.088,0.004,0.002,1.6829346,2.93e-06,2.93e-06,,,,,,,,,,,2016,2021-02-05,,,,,,,2454964.96803,0.0014,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19132940+4756008 c, K01837.02, KIC 10657406 c, KOI-1837 c, KOI-1837.02, WISE J191329.39+475600.8 c",,288.372508,47.933556,,,12.413,11.976,11.897,411.0,,,0.22,0.048,0.051,0.92,0.02,0.02,0.82,0.01,0.01,,5214.0,40.68,44.63,,,"2MASS J19132940+4756008, KIC 10657406, KOI-1837, WISE J191329.39+475600.8"
Kepler-97 Ab,Kepler-97 A,8.42,,,Confirmed,0.011,0.006,0.006,,,,0.132,0.012,0.012,2.58664,,,,,,,,,,,,,2014,2025-02-25,,,,,,,2455004.84121,,,,,,,,,,,,0.41,0.16,0.16,,,,1.65,0.9,0.9,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"2MASS J19091838+4840243 b, K00292.01, KIC 11075737 b, KOI-292 b, KOI-292.01, WISE J190918.37+484024.1  b",,287.326624,48.673431,,,11.744,11.408,11.3,405.58,3.58,3.58,-0.2,0.07,0.07,0.94,0.06,0.06,0.98,0.09,0.09,G0V,5779.0,74.0,74.0,,,"KOI-292, 2MASS J19091838+4840243, KIC 11075737, WISE J190918.37+484024.1"
Kepler-97 Ac,Kepler-97 A,8.42,,,Confirmed,1.08,,,,,,,,,789.0,,,,,,,,,,,,,2014,2025-02-25,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,"2MASS J19091838+4840243 c, K00292.10, KIC 11075737 c, KOI-292 c, KOI-292.10, WISE J190918.37+484024.1  c",,287.326624,48.673431,,,11.744,11.408,11.3,405.58,3.58,3.58,-0.2,0.07,0.07,0.94,0.06,0.06,0.98,0.09,0.09,G0V,5779.0,74.0,74.0,,,"KOI-292, 2MASS J19091838+4840243, KIC 11075737, WISE J190918.37+484024.1"
Kepler-970 Bb,Kepler-970 B,0.105,0.01,0.01,Confirmed,,,,,,,0.23276,0.01811,0.02364,16.736525,2e-05,2e-05,0.139,0.026,0.022,0.34,0.22,0.18,88.74,0.26,0.77,,2016,2024-08-03,117.0,85.0,75.0,,,,2454976.13242,0.00131,0.00131,,,,,,,,,,0.7,0.44,0.18,,,,,,,464.0,,,,,,,,,Announced on a website,Primary Transit,,Primary Transit,"WISE J191830.04+404231.4 b, KOI-1838 b, KOI-1838.01, K01838.01, KIC 5526527 b, TIC 122069243 b, 2MASS J19183005+4042314 b",,289.62523,40.708726,,,12.98,12.355,12.215,331.545,2.4355,2.4355,0.04,0.09,0.09,0.67,0.02,0.02,0.71,0.03,0.03,K7V,4290.0,70.0,70.0,,,"KIC 5526527, WISE J191830.04+404231.4, KOI-1838, TIC 122069243, 2MASS J19183005+4042314"
Kepler-971 Ab,Kepler-971 A,4.47,-2.77,6.27,Confirmed,,,,,,,0.19,0.021,0.02,9.59070716,2.32e-05,2.32e-05,,,,,,,,,,,2016,2025-03-21,,,,,,,2454965.68117,0.00202,0.00202,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J18562270+4110581 b, K01839.01, KIC 5856571 b, KOI-1839 b, KOI-1839.01, WISE J185622.69+411058.1 b",,284.094587,41.182821,,,11.905,11.5,11.422,338.522,6.509,6.764,0.1729,0.0179,0.0179,0.97,0.076,0.1648,0.777,0.0447,0.0527,G6V,5513.7,127.056,161.119,,,"KIC 5856571, WISE J185622.69+411058.1, KOI-1839, 2MASS J18562270+4110581"
Kepler-972 b,Kepler-972,2.82,-1.14,1.53,Confirmed,,,,,,,0.415,0.098,0.136,7.03932553,1.608e-05,1.608e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2454966.85385,0.0019,0.0019,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19431888+4325317 b, K01840.01, KIC 7765528 b, KOI-1840 b, KOI-1840.01, WISE J194318.89+432531.4 b",,295.828703,43.425495,,,13.777,13.462,13.373,1304.0,,,0.04,0.158,0.143,1.15,0.12,0.16,1.22,0.2,0.4,,6146.0,260.44,204.83,,,"2MASS J19431888+4325317, KIC 7765528, KOI-1840, WISE J194318.89+432531.4"
Kepler-973 Ab,Kepler-973 A,2.29,-0.852,1.64,Confirmed,,,,,,,0.175,0.006,0.007,49.6077331,0.0001208,0.0001208,,,,,,,,,,,2016,2025-02-25,,,,,,,2454971.41415,0.00191,0.00191,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19203966+4955259 b, K01841.01, KIC 11760231 b, KOI-1841 b, KOI-1841.01, WISE J192039.67+495525.7 b",,290.165258,49.923862,,,11.845,11.43,11.303,297.0,,,-0.06,0.096,0.113,0.86,0.03,0.03,0.78,0.02,0.02,G8V,5213.0,62.75,65.87,,,"2MASS J19203966+4955259, KIC 11760231, KOI-1841, WISE J192039.67+495525.7"
Kepler-974 b,Kepler-974,4.79,0.74,0.74,Confirmed,,,,,,,0.1401,0.0107,0.008,4.194496514,5.03e-06,5.03e-06,0.0419,,,0.0,,,85.09,,,,2016,2025-08-07,,,,,,,2454967.13429,0.00101,0.00101,,,,,,,,,,0.863,0.625,0.005,,,,,,,577.0,,,,,,,,,Announced on a website,Primary Transit,,Primary Transit,"KOI1843.01, 2MASS J19000314+4013147 b, K01843.01, KIC 5080636 b, KOI-1843 b, KOI-1843.01, WISE J190003.14+401315.2 b",,285.013102,40.220753,15.3,,11.95,11.28,11.06,134.311,0.444,0.447,0.07,0.08,0.077,0.534,0.02,0.02,0.538,0.016,0.016,M1V,3609.0,157.0,157.0,,,"2MASS J19000314+4013147, KIC 5080636, KOI-1843, WISE J190003.14+401315.2"
Kepler-974 c,Kepler-974,4.79,0.74,0.74,Confirmed,0.00217,0.00116,0.00116,,,,0.0544,0.0071,0.0107,0.1768913,2e-07,2e-07,0.005,,,,,,72.0,20.0,12.0,,2013,2025-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,1654.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"KOI-1843 c, KOI-1843.03",,285.013102,40.220753,15.3,,11.95,11.28,11.06,134.311,0.444,0.447,0.07,0.08,0.077,0.534,0.02,0.02,0.538,0.016,0.016,M1V,3609.0,157.0,157.0,,,"2MASS J19000314+4013147, KIC 5080636, KOI-1843, WISE J190003.14+401315.2"
Kepler-975 Ab,Kepler-975 A,3.89,2.2,6.23,Confirmed,,,,,,,0.14105,0.00553,0.00553,1.970342457,2.36e-06,2.36e-06,0.02898,0.00027,0.00027,0.0,,,79.56,,,,2016,2025-08-07,,,,,,,2454964.947762,0.000974,0.000974,,,,,,,,,,0.859,0.606,0.033,,,,,,,1599.0,,,,,,,,,Announced on a website,Primary Transit,,Primary Transit,"WISE J192211.65+382942.9 b, KOI-1845 b, KOI-1845.01, K01845.01, KIC 3338885 b, 2MASS J19221165+3829430 b",,290.54855,38.495275,14.63,,12.807,12.276,12.19,426.088,3.564,3.564,0.38,0.0127,0.0127,0.77,,,0.807,,,K3V,4783.72,85.8451,85.8451,,,"KIC 3338885, WISE J192211.65+382942.9, KOI-1845, 2MASS J19221165+3829430"
Kepler-975 Ac,Kepler-975 A,3.89,2.2,6.23,Confirmed,,,,,,,0.50353,,,5.05821338,4.738e-06,4.738e-06,0.0567,,,0.0,,,85.01,,,,2017,2025-08-07,,,,,,,,,,2454968.702,2454832.999197,2454833.000803,,,,,,,1.004,0.696,0.042,,,,,,,1168.0,,,,,,,,,Announced on a website,Primary Transit,,Primary Transit,"KOI-1845 c, KOI-1845.02, KIC 3338885 c, 2MASS J19221165+3829430 c, WISE J192211.65+382942.9 c, K01845.02",,290.54855,38.495275,14.63,,12.807,12.276,12.19,426.088,3.564,3.564,0.38,0.0127,0.0127,0.77,,,0.807,,,K3V,4783.72,85.8451,85.8451,,,"KIC 3338885, WISE J192211.65+382942.9, KOI-1845, 2MASS J19221165+3829430"
Kepler-976 b,Kepler-976,4.68,-2.94,6.47,Confirmed,,,,,,,0.353,0.018,0.026,105.9564148,0.0004626,0.0004626,,,,,,,,,,,2016,2021-02-05,,,,,,,2455015.05368,0.00362,0.00362,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19192871+4643469 b, K01846.01, KIC 9886255 b, KOI-1846 b, KOI-1846.01",,289.869641,46.729706,,,14.361,13.973,13.887,1020.0,,,0.07,0.162,0.156,0.87,0.04,0.04,0.83,0.04,0.05,,5232.0,66.39,51.16,,,"2MASS J19192871+4643469, KIC 9886255, KOI-1846"
Kepler-977 b,Kepler-977,4.57,-2.85,6.02,Confirmed,,,,,,,0.234,0.015,0.015,26.85328322,6.393e-05,6.393e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2454976.31116,0.00194,0.00194,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19260389+4214535 b, K01847.01, KIC 6776401 b, KOI-1847 b, KOI-1847.01, WISE J192603.88+421453.2 b",,291.51621,42.248196,,,13.434,13.018,12.92,664.0,,,-0.01,0.163,0.153,0.87,0.05,0.04,0.83,0.04,0.06,,5315.0,105.24,84.55,,,"2MASS J19260389+4214535, KIC 6776401, KOI-1847, WISE J192603.88+421453.2"
Kepler-978 b,Kepler-978,3.63,-1.9,1.79,Confirmed,,,,,,,0.267,0.051,0.06,49.6221509,0.000171,0.000171,,,,,,,,,,,2016,2021-02-05,,,,,,,2454970.10026,0.00252,0.00252,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19065057+4302364 b, K01848.01, KIC 7430034 b, KOI-1848 b, KOI-1848.01, WISE J190650.55+430236.2 b",,286.710723,43.043453,,,12.363,12.075,12.011,624.0,,,-0.01,0.193,0.145,1.07,0.07,0.08,1.09,0.12,0.25,,6002.0,84.89,81.98,,,"2MASS J19065057+4302364, KIC 7430034, KOI-1848, WISE J190650.55+430236.2"
Kepler-979 b,Kepler-979,4.57,-2.81,5.76,Confirmed,,,,,,,0.243,0.021,0.037,8.0880135,1.135e-05,1.135e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2454971.73615,0.00111,0.00111,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J20012910+4624297 b, K01849.01, KIC 9735426 b, KOI-1849 b, KOI-1849.01, WISE J200129.09+462429.5 b",,300.371281,46.408276,,,13.257,12.794,12.732,606.0,,,-0.02,0.167,0.147,0.87,0.05,0.06,0.83,0.05,0.07,,5310.0,136.81,205.13,,,"2MASS J20012910+4624297, KIC 9735426, KOI-1849, WISE J200129.09+462429.5"
Kepler-98 b,Kepler-98,2.79,,,Confirmed,0.011,0.005,0.005,,,,0.178,0.02,0.02,1.54168,,,,,,,,,,,,,2014,2021-02-05,,,,,,,2455003.54328,,,,,,,,,,,,0.56,0.14,0.14,,,,1.82,0.8,0.8,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"2MASS J19023879+3757522 b, K00299.01, KIC 2692377 b, KOI-299 b, KOI-299.01, WISE J190238.80+375752.3  b",,285.661662,37.964506,,,11.672,11.316,,353.87,,,0.18,0.07,0.07,0.99,0.06,0.06,1.11,0.12,0.12,,5539.0,73.0,73.0,,,"Kepler-98, 2MASS J19023879+3757522, KIC 2692377, KOI-299, WISE J190238.80+375752.3"
Kepler-980 b,Kepler-980,3.55,-1.68,1.92,Confirmed,,,,,,,0.238,0.04,0.021,11.55102504,2.754e-05,2.754e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2454967.90861,0.00179,0.00179,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19382712+4503366 b, K01850.01, KIC 8826168 b, KOI-1850 b, KOI-1850.01, WISE J193827.11+450336.6 b",,294.613008,45.060169,,,13.022,12.714,12.665,804.0,,,0.01,0.089,0.092,1.05,0.04,0.05,1.06,0.07,0.09,,5935.0,92.58,98.9,,,"2MASS J19382712+4503366, KIC 8826168, KOI-1850, WISE J193827.11+450336.6"
Kepler-981 b,Kepler-981,4.07,-2.32,3.8,Confirmed,,,,,,,0.206,0.016,0.027,4.46975774,5.86e-06,5.86e-06,,,,,,,,,,,2016,2021-02-05,,,,,,,2454964.84366,0.00112,0.00112,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19165973+4739003 b, K01851.01, KIC 10464050 b, KOI-1851 b, KOI-1851.01, WISE J191659.74+473900.4 b",,289.248907,47.650101,,,13.574,13.272,13.169,913.0,,,0.01,0.178,0.146,0.98,0.05,0.04,0.96,0.07,0.12,,5718.0,82.87,78.23,,,"2MASS J19165973+4739003, KIC 10464050, KOI-1851, WISE J191659.74+473900.4"
Kepler-982 b,Kepler-982,3.55,-1.32,0.86,Confirmed,,,,,,,0.201,0.024,0.042,15.7738221,4.115e-05,4.115e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2454970.53085,0.0021,0.0021,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19134024+4635255 b, K01852.01, KIC 9763348 b, KOI-1852 b, KOI-1852.01, WISE J191340.24+463525.5 b",,288.41768,46.590427,,,12.203,11.957,11.895,702.0,,,0.05,0.081,0.086,1.16,0.05,0.07,1.29,0.15,0.27,,6139.0,62.95,54.99,,,"2MASS J19134024+4635255, KIC 9763348, KOI-1852, WISE J191340.24+463525.5"
Kepler-983 Ab,Kepler-983 A,1.41,-0.25,0.403,Confirmed,,,,,,,0.211,0.016,0.006,60.0855082,0.0002611,0.0002611,,,,,,,,,,,2016,2025-02-25,,,,,,,2454986.25486,0.00331,0.00331,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19002497+4500294 b, K01853.01, KIC 8804397 b, KOI-1853 b, KOI-1853.01, WISE J190024.97+450029.3 b",,285.10406,45.008167,,,12.456,12.156,12.169,655.0,,,0.12,0.081,0.072,1.13,0.02,0.03,1.08,0.03,0.03,F9/G0V,6052.0,47.66,50.95,,,"2MASS J19002497+4500294, KIC 8804397, KOI-1853, WISE J190024.97+450029.3"
Kepler-984 b,Kepler-984,3.98,-2.17,3.02,Confirmed,,,,,,,0.189,0.01,0.012,43.0342272,0.0001479,0.0001479,,,,,,,,,,,2016,2021-02-05,,,,,,,2454970.69021,0.00258,0.00258,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19475012+4623388 b, K01854.01, KIC 9662811 b, KOI-1854 b, KOI-1854.01, WISE J194750.12+462338.7 b",,296.958868,46.394127,,,12.247,11.914,11.83,461.0,,,0.04,0.105,0.104,0.96,0.04,0.04,0.93,0.04,0.05,,5610.0,91.79,94.38,,,"2MASS J19475012+4623388, KIC 9662811, KOI-1854, WISE J194750.12+462338.7"
Kepler-985 b,Kepler-985,3.39,-2.0,2.53,Confirmed,,,,,,,0.266,0.013,0.012,116.331901,0.001381,0.001381,,,,,,,,,,,2016,2021-02-05,,,,,,,2455006.6869,0.0073,0.0073,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19203463+4402598 b, K01858.01, KIC 8160953 b, KOI-1858 b, KOI-1858.01",,290.144308,44.049953,,,13.537,13.163,13.019,741.0,,,0.0,0.111,0.098,0.91,0.04,0.03,0.85,0.03,0.03,,5434.0,61.79,75.03,,,"2MASS J19203463+4402598, KIC 8160953, KOI-1858"
Kepler-986 b,Kepler-986,6.17,-3.84,3.54,Confirmed,,,,,,,0.211,0.017,0.026,56.4349938,0.0001446,0.0001446,,,,,,,,,,,2016,2021-02-05,,,,,,,2454984.41171,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19322256+4253471 b, K01862.01, KIC 7286173 b, KOI-1862 b, KOI-1862.01, WISE J193222.56+425347.2 b",,293.094007,42.896431,,,12.513,12.171,12.107,563.0,,,0.04,0.101,0.096,0.96,0.04,0.04,0.98,0.08,0.12,,5642.0,60.93,74.24,,,"2MASS J19322256+4253471, KIC 7286173, KOI-1862, WISE J193222.56+425347.2"
Kepler-987 b,Kepler-987,2.45,-1.01,1.78,Confirmed,,,,,,,0.291,0.011,0.014,105.3033148,0.0004783,0.0004783,,,,,,,,,,,2016,2021-02-05,,,,,,,2455040.17343,0.00396,0.00396,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19173865+4607510 b, K01866.01, KIC 9520838 b, KOI-1866 b, KOI-1866.01, WISE J191738.65+460751.0 b",,289.41107,46.130848,,,13.776,13.484,13.375,936.0,,,0.01,0.102,0.104,0.97,0.03,0.03,0.91,0.03,0.03,,5637.0,60.98,69.85,,,"2MASS J19173865+4607510, KIC 9520838, KOI-1866, WISE J191738.65+460751.0"
Kepler-988 b,Kepler-988,3.16,-1.62,4.32,Confirmed,,,,,,,0.185,0.014,0.042,17.76080053,2.728e-05,2.728e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2454970.50628,0.00128,0.00128,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19225001+4214141 b, K01868.01, KIC 6773862 b, KOI-1868 b, KOI-1868.01, WISE J192249.99+421414.0 b",,290.708386,42.237251,,,13.138,12.45,12.29,248.0,,,-0.32,0.095,0.103,0.55,0.02,0.02,0.53,0.02,0.02,,4005.0,41.86,43.58,,,"2MASS J19225001+4214141, KIC 6773862, KOI-1868, WISE J192249.99+421414.0"
Kepler-989 b,Kepler-989,4.68,-2.82,5.77,Confirmed,,,,,,,0.197,0.012,0.012,7.96431535,9.62e-06,9.62e-06,,,,,,,,,,,2016,2021-02-05,,,,,,,2454969.81672,0.00102,0.00102,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J18461989+4714010 b, K01870.01, KIC 10187159 b, KOI-1870 b, KOI-1870.01, WISE J184619.87+471400.7 b",,281.582909,47.233631,,,12.965,12.522,12.415,484.0,,,0.01,0.175,0.149,0.82,0.04,0.04,0.78,0.04,0.04,,5074.0,53.62,52.66,,,"2MASS J18461989+4714010, KIC 10187159, KOI-1870, WISE J184619.87+471400.7"
Kepler-99 Bb,Kepler-99 B,4.27,2.28,3.0,Confirmed,0.0119971,0.0018,0.0018,0.0119955,0.0018,0.0018,0.16166,0.01204,0.01204,4.60358,,,0.05069,,,0.0,,,89.05,,,,2014,2024-08-04,,,,,,,2455004.83893,,,,,,,,,,,,0.246,0.246,0.189,,,,1.67,0.9,0.9,810.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"WISE J194924.96+411800.2 b, Kepler-99 b, KOI-305 b, KOI-305.01, K00305.01, KIC 6063220 b, 2MASS J19492496+4118001 b",,297.354004,41.300049,13.2,,11.368,10.852,10.8,208.369,1.031,1.042,0.21,0.1,0.1,0.769,0.0534,0.129,0.745,0.05,0.0492,K3V,4774.0,112.567,101.468,,,"Kepler-99, KOI-305, WISE J194924.96+411800.2, 2MASS J19492496+4118001, KIC 6063220"
Kepler-990 b,Kepler-990,3.55,1.75,2.38,Confirmed,,,,,,,0.2543,0.0491,0.0375,9.91724268,2.375e-05,2.375e-05,0.0883,,,0.0,,,87.06,,,,2016,2025-09-09,,,,,,,2454968.13949,0.00196,0.00196,,,,,,,,,,0.786,0.533,0.057,,,,,,,903.0,,,,,,,,,Announced on a website,Primary Transit,,Primary Transit,"2MASS J19514517+4652530 b, K01875.01, KIC 9967771 b, KOI-1875 b, KOI-1875.01, WISE J195145.17+465252.7 b",,297.938209,46.881393,,,13.362,13.031,12.928,802.163,12.304,12.304,-0.205,0.08,0.08,0.97,,,1.031,,,G5V,5521.54,82.92,82.92,,,"2MASS J19514517+4652530, KIC 9967771, KOI-1875, WISE J195145.17+465252.7"
Kepler-990 c,Kepler-990,3.55,1.75,2.38,Confirmed,,,,,,,0.149,0.0294,0.0214,0.53835407,6.75e-07,6.75e-07,0.0127,,,0.0,,,82.87,,,,2016,2025-09-09,,,,,,,2454964.64931,0.001,0.001,,,,,,,,,,0.334,0.334,0.116,,,,,,,2386.0,,,,,,,,,Announced on a website,Primary Transit,,Primary Transit,"2MASS J19514517+4652530 c, K01875.02, KIC 9967771 c, KOI-1875 c, KOI-1875.02, WISE J195145.17+465252.7 c",,297.938209,46.881393,,,13.362,13.031,12.928,802.163,12.304,12.304,-0.205,0.08,0.08,0.97,,,1.031,,,G5V,5521.54,82.92,82.92,,,"2MASS J19514517+4652530, KIC 9967771, KOI-1875, WISE J195145.17+465252.7"
Kepler-991 b,Kepler-991,3.47,-1.9,4.22,Confirmed,,,,,,,0.227,0.011,0.012,82.5342519,0.0003449,0.0003449,,,,,,,,,,,2016,2021-02-05,,,,,,,2455042.12641,0.00341,0.00341,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19482175+4937356 b, K01876.01, KIC 11622600 b, KOI-1876 b, KOI-1876.01, WISE J194821.73+493735.4 b",,297.090655,49.626572,,,13.329,12.72,12.611,370.0,,,-0.25,0.121,0.099,0.64,0.03,0.03,0.61,0.02,0.02,,4392.0,44.76,55.21,,,"2MASS J19482175+4937356, KIC 11622600, KOI-1876, WISE J194821.73+493735.4"
Kepler-992 b,Kepler-992,3.02,-1.3,2.64,Confirmed,,,,,,,0.145,0.024,0.004,20.16034462,5.016e-05,5.016e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2454977.3439,0.00205,0.00205,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J18574326+4738304 b, K01877.01, KIC 10454632 b, KOI-1877 b, KOI-1877.01, WISE J185743.28+473830.0 b",,284.43028,47.641785,,,11.899,11.381,11.274,268.0,,,-0.04,0.098,0.101,0.8,0.03,0.03,0.74,0.02,0.02,,4944.0,46.1,43.61,,,"2MASS J18574326+4738304, KIC 10454632, KOI-1877, WISE J185743.28+473830.0"
Kepler-993 b,Kepler-993,3.89,-2.16,5.38,Confirmed,,,,,,,0.265,0.011,0.016,22.08557563,4.655e-05,4.655e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2454968.23132,0.00187,0.00187,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19302738+4423407 b, K01879.01, KIC 8367644 b, KOI-1879 b, KOI-1879.01, WISE J193027.38+442340.7 b",,292.614101,44.394661,,,13.587,12.893,12.729,298.0,,,0.03,0.094,0.09,0.57,0.02,0.02,0.54,0.02,0.02,,3843.0,46.25,50.16,,,"2MASS J19302738+4423407, KIC 8367644, KOI-1879, WISE J193027.38+442340.7"
Kepler-994 b,Kepler-994,3.24,-1.64,4.3,Confirmed,,,,,,,0.143,0.024,0.006,1.15116651,5.7e-07,5.7e-07,,,,,,,,,,,2016,2021-02-05,,,,,,,2454966.231885,0.000406,0.000406,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19161733+4724254 b, K01880.01, KIC 10332883 b, KOI-1880 b, KOI-1880.01, WISE J191617.31+472425.0 b",,289.072225,47.40707,,,12.264,11.611,11.453,170.0,,,-0.13,0.098,0.098,0.56,0.03,0.03,0.54,0.02,0.02,,3934.0,35.14,38.91,,,"2MASS J19161733+4724254, KIC 10332883, KOI-1880, WISE J191617.31+472425.0"
Kepler-995 b,Kepler-995,5.01,-3.2,6.05,Confirmed,,,,,,,0.241,0.015,0.017,28.26731672,8.643e-05,8.643e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2454973.92495,0.00227,0.00227,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J18582777+3907517 b, K01881.01, KIC 4035640 b, KOI-1881 b, KOI-1881.01, WISE J185827.77+390751.6 b",,284.615727,39.131038,,,13.566,13.066,13.021,659.0,,,-0.07,0.17,0.148,0.83,0.05,0.04,0.8,0.05,0.05,,5206.0,74.71,110.94,,,"2MASS J18582777+3907517, KIC 4035640, KOI-1881, WISE J185827.77+390751.6"
Kepler-996 b,Kepler-996,3.63,-1.77,1.81,Confirmed,,,,,,,0.177,0.022,0.056,3.77059058,8.06e-06,8.06e-06,,,,,,,,,,,2016,2021-02-05,,,,,,,2454966.39097,0.00168,0.00168,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19273906+4132009 b, K01882.01, KIC 6205228 b, KOI-1882 b, KOI-1882.01, WISE J192739.07+413201.1 b",,291.912789,41.533611,,,13.546,13.246,13.171,1098.0,,,0.03,0.155,0.131,1.09,0.08,0.09,1.14,0.14,0.36,,6014.0,152.18,114.4,,,"2MASS J19273906+4132009, KIC 6205228, KOI-1882, WISE J192739.07+413201.1"
Kepler-997 b,Kepler-997,3.63,-0.69,0.82,Confirmed,,,,,,,0.121,0.023,0.029,2.70730672,5.52e-06,5.52e-06,,,,,,,,,,,2016,2021-02-05,,,,,,,2454965.43096,0.00163,0.00163,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19165600+4956201 b, K01883.01, KIC 11758544 b, KOI-1883 b, KOI-1883.01, WISE J191656.00+495620.0 b",,289.233369,49.938934,,,10.929,10.663,10.608,470.0,,,0.05,0.077,0.081,1.22,0.08,0.15,1.56,0.3,0.37,,6150.0,54.96,62.57,,,"2MASS J19165600+4956201, KIC 11758544, KOI-1883, WISE J191656.00+495620.0"
